M;MBLS;WTI;PP;TI;TCRM
381554130;3309390;100.1359091;2094701;110.7810044;96.07981725
248054480;2179360;102.2580952;1968114;112.6218792;96.85043228
340941190;2799730;106.1577273;2058400;109.6799203;95.52586782
302772110;2516600;103.3195238;2080170;108.5639592;94.47288201
325260900;2821530;94.48;2030159;109.8057358;93.69369755
247773180;2465020;82.30333333;1985640;104.5153053;92.71534231
274619160;2867770;87.88818182;2093616;106.0727894;91.64994613
312990220;3023200;94.13130435;2082704;105.2730594;91.22454862
351361280;3178630;94.6125;1984170;109.418442;91.31857366
339406310;3170670;89.49130435;2017139;108.5327068;91.36690174
308453260;2988750;86.62318182;2011140;109.457476;91.49261167
188783280;1714100;87.88;1989704;110.5245106;90.60739233
375246280;3315580;94.66652174;1933408;111.479981;90.64273727
225476860;1983910;95.341;1790936;110.0050347;92.13542349
346547330;3211950;93.14333333;1930494;106.63454;91.18636989
262026100;2457870;92.02136364;1887660;104.0347206;91.26042728
288683930;2791520;94.48043478;1978823;101.8426964;92.54016074
179588310;1724060;95.7725;1928460;98.7357387;95.57604255
271516930;2537640;104.5513043;1927518;98.62879831;95.72795533
423044620;3789350;106.5727273;1902439;98.15917745;96.28673962
181587810;1759840;106.37;1888440;102.1627611;96.13516325
324151230;2934250;100.5382609;1803518;98.76529525;96.69233698
287413640;2783920;93.82142857;1920600;99.19960094;97.29350826
186003210;1702020;97.89727273;2063732;97.58417443;96.85235148
313549250;3026000;94.99086957;1988805;98.21763126;97.42874449
147053230;1441460;100.747;1972544;98.54111148;97.12390735
363876840;3289060;100.6038095;2278655;95.92119627;96.73094036
325661930;2948940;102.1322727;2021370;96.12075909;96.49212169
239890470;2285540;102.0031818;2150439;95.42138529;96.37199651
192392360;1607180;105.23;2161290;93.58380686;96.4703936
308465760;2773680;102.9482609;2118478;97.46569634;95.735276
285695150;2867110;96.53619048;2125360;98.16971383;96.36620491
212593760;2190580;93.42318182;2087640;97.5994252;97.2917408
270513500;2860130;84.39695652;2217368;95.79572564;97.58666841
182200670;2264840;75.685;2096730;96.9931737;97.17300531
198566850;2899320;59.13434783;2077155;97.13148015;97.20068934
165650450;2715590;47.52909091;1931486;93.21999511;97.67492272
64101100;1307840;50.688;1557136;94.16366629;99.66637899
186506150;3294270;47.82363636;1911088;91.09810541;97.89434774
182793140;3268440;54.21090909;1747980;91.92667809;99.06852922
147152880;2297420;59.24666667;1831418;93.12771791;100.2298012
153376040;2454980;59.81954545;1653090;91.78960872;99.85443204
136179980;2340650;51.16304348;1729335;89.71206998;99.25981074
159639490;3351760;42.86761905;1882909;88.0585053;98.67753923
118196080;2588910;45.50409091;1641750;85.96937572;97.17971328
105817380;2252500;46.22363636;1750353;89.34709806;98.44925676
122030120;2685720;42.3852381;1703550;86.91748305;99.90064801
100812080;2768730;37.2073913;1832689;85.85719349;100.0493283
116570970;3765000;31.83619048;1589215;83.96195178;100.0716003
94228020;3098680;30.2752381;1350530;85.52308882;103.256418
78238530;2192810;37.8173913;1219943;89.99283092;101.1235318
99644950;2504200;40.95809524;1211460;88.67160146;99.36821494
105257810;2488430;46.83272727;1330892;88.10122623;99.68933755
161149670;3395570;48.75727273;1106370;87.71861385;98.8503179
152422590;3309690;44.85952381;1312757;91.76669521;98.07652937
141956590;3264740;44.72434783;1280889;90.2145517;99.51323769
148023420;3559320;45.16409091;1039920;91.55279281;100.7795976
164365390;3624070;49.84571429;1089681;90.18327993;99.82331531
143345990;3303100;45.70909091;1054560;94.4751735;98.4830162
195430490;3983570;51.97227273;1187083;96.00197121;96.91896435
243726880;4643700;52.55409091;1227290;91.59416116;96.14747417
196702950;3696080;53.4655;1139040;93.54680893;94.50654937
183189050;3514400;49.32782609;1309657;95.55090882;93.27456748
218713980;3351720;51.1855;1296720;92.08673942;93.65419287
186047650;3874120;48.52434783;1289352;93.18964429;94.94416562
190413960;3930840;45.17772727;1328400;92.75841387;95.55810523
179399880;3873680;46.57238095;1423179;94.13052538;95.58452733
150060360;2932460;48.03695652;1528796;97.84695414;96.18442753
204091330;3902810;49.70285714;1298610;100.5046062;97.57039866
178232560;3174120;51.57772727;1262878;102.0414067;97.36767825
204858200;3582370;56.66318182;1301430;103.5765606;97.11111451
323362390;5259660;57.89904762;1494045;102.4056145;97.64470019
261401990;3853610;63.58043478;1508925;102.2043135;98.97052081
245699840;3815600;62.2125;1407448;102.4226301;101.3167117
218552220;3265690;62.82227273;1611318;100.2827967;100.4187711
249370580;3631230;66.25380952;1498920;98.62028549;99.97213192
159933720;2143410;69.88869565;1618231;98.2953862;99.49792769
202372640;2700140;67.87333333;1245780;97.27453116;98.03503988
250213430;3439130;71.12727273;1329249;95.43683903;96.43122836
358829410;4964850;68.05565217;1368185;91.63635254;96.03009316
220960160;2946440;70.2125;1560840;90.72997248;96.40764013
340608710;4348270;70.74869565;1734388;91.36717835;96.84396763
165890240;2729220;56.73136364;1455300;92.47891878;97.23169748
179991710;3279550;48.92;1498540;94.82387628;96.89458449
194266130;3420890;51.20173913;1176481;94.42105407;97.49923402
223100990;3534700;54.986;1319472;91.80548201;97.63216426
215158150;3253280;58.15142857;1592005;93.00346797;96.4056001
197282400;2754540;63.86954545;1613010;94.5589418;96.30346344
168144820;2376770;60.72130435;1753825;94.46380172;95.77121287
242971520;3801140;54.6575;1499640;95.11507203;95.93510842
173680110;2691010;57.33217391;1361427;96.78002131;95.26081837
220441730;3662260;54.80590909;1747470;95.32592856;96.1820996
180714000;2878940;56.85761905;1774530;95.86620981;95.41768192
258234770;4173550;53.96304348;1737364;94.23658654;96.21584681
222930820;3173430;57.07904762;1912140;93.66034433;96.68848829
182051380;2574780;59.87818182;1851692;95.861306;96.28636368
